University Name,Total Students,International Students,Total Staffs
Tokyo Metropolitan University,9049.0,576.0,834.0
SUNY New Paltz,,,
EADA - Business School Barcelona,,,
"Süleyman Demirel University, Turkey",40840.0,2212.0,1843.0
Universidad Alfonso X el Sabio,,,
Shahrood University of Technology,7721.0,7.0,338.0
Universidade Católica Portuguesa,10113.0,1665.0,761.0
Universidad Nacional de Ingeniería (UNI) - Nicaragua,,,390.0
INSEEC SupSocial,,,
Santa Clara University,,,
Villa College,,,
École Normale Supérieure de Lyon,2077.0,224.0,370.0
University Mohamed Boudiaf of M'Sila,35715.0,371.0,1890.0
EOI  Escuela de Negocios,,,
Firat Üniversitesi,33877.0,33.0,1102.0
Olin Business School,,,
Parahyangan Catholic University,10517.0,62.0,380.0
Universitas Darussalam Gontor,,,
Universidad Nacional Autónoma de Honduras (UNAH),96649.0,,3484.0
Universidad Diego Portales (UDP),18099.0,627.0,1104.0
Ukrainian State University of Chemical Technology,,,
DePauw University,,,
University of Calicut,2229.0,22.0,130.0
Université de La Rochelle,,,
Universidade Federal do Rio de Janeiro,53188.0,635.0,3963.0
Universidad Europea del Atlántico,,,
Universidad del Magdalena,19674.0,131.0,714.0
National University of the Patagonia San Juan Bosco,16517.0,,1773.0
École des Hautes Études en Santé Publique (EHESP),,,
JSS Academy of Higher Education & Research,8199.0,671.0,868.0
"National Institute of Pharmaceutical Education and Research, Hyderabad",,,
University of Abertay Dundee,,,
Antwerp Management School,,,
Fachhochschule Worms,,,
Chirchik State Pedagogical University,,,
Universidade Federal de Mato Grosso do Sul,27483.0,227.0,1780.0
Hochschule Reutlingen,,,
Université de Monastir,21342.0,458.0,2296.0
Wofford College,,,
"Jawaharlal Nehru Technological University  Anantapur, Ananthapuramu",6382.0,21.0,342.0
University of Biskra,,,
Warwick Business School,,,
Universidad Católica de Honduras,,,
Cedar Crest College,,,
Liszt Ferenc Academy of Music,,,
Prince of Songkla University,33318.0,603.0,2537.0
INSEAD,,,
