University Name,Total Students,International Students,Total Staffs
Angeles University Foundation,,,
Torrens University Australia,,,
The University of Sheffield,28399.0,11307.0,3351.0
University of Belgrade,97225.0,4610.0,4674.0
Beedie School of Business,,,
Francis Marion University,,,
Toronto Metropolitan University,33682.0,1364.0,877.0
Robert H Smith School of Business,,,
Okinawa Institute of Science and Technology Graduate University (OIST),,,
MIP - School of Management,,,
Mindanao State University - Iligan Institute of Technology ,11467.0,41.0,555.0
University of Denver,9417.0,546.0,1030.0
"Department of Accounting, Finance and Economics",,,
University of Leicester - School of Management,,,
Gharyan University,9138.0,,887.0
Pepperdine University,,,
Southern Federal University,18978.0,2623.0,2701.0
The University of Manchester,42759.0,19074.0,4997.0
BEM Bordeaux Management School,,,
University of East Anglia - Norwich Business School,,,
Université Stendhal Grenoble 3,5341.0,841.0,295.0
Bay Path University,,,
Bursa Uludag University,,,
Sinhgad Group of Institutes,,,
Duy Tan University,23797.0,98.0,1036.0
"King Edward Medical University, Lahore. ",2954.0,80.0,263.0
Key West University,,,
University of London - International Programmes,,,
University of Ibb,12053.0,66.0,415.0
Universidad Nacional de San Antonio Abad del Cusco,21218.0,,224.0
Bandung Institute of Technology (ITB),22255.0,543.0,2892.0
University of Aberdeen,13261.0,5131.0,1235.0
University of Buraimi,,,
EURECOM,,,
IFP School,,,
tt1,,,
Euncet Business School - UPC,,,
ADA University,2868.0,154.0,124.0
Saint Joseph's College-New York,,,
ESC Clermont Graduate School of Management,,,
Pontificia Universidad Católica Madre y Maestra (PUCMM),10483.0,1098.0,662.0
Razi University,10733.0,416.0,455.0
Eurasia International University,0.0,0.0,0.0
University of Ljubljana,40607.0,3653.0,4018.0
Musashi University,4408.0,22.0,238.0
University of Belgrade,97225.0,4610.0,4674.0
Tomsk State Pedagogical University,5073.0,331.0,324.0
Pakistan Institute of Engineering and Applied Sciences (PIEAS),1504.0,2.0,167.0
Manhattan College,,,
OU Business School,,,
Mediterranean School of Business- MSB,,,
The Women University Multan,5800.0,,213.0
Universidad Iberoamericana Puebla,4357.0,,631.0
Technische Universität Dresden,29200.0,5040.0,4836.0
Richard A. Chaifetz School of Business,,,
Universidade Federal de Santa Maria,27256.0,155.0,2217.0
ESIC Business & Marketing School,,,
"DCU Business School, Dublin City University (DCU)",,,
Universidad Católica Santa María la Antigua-USMA,4552.0,481.0,282.0
Université d'Oran 2 - Mohamed Ben Ahmed,,,
Escuela Europea de Negocios,,,
"Gauhati University, Guwahati",14032.0,15.0,429.0
Albright College,,,
V. N. Karazin Kharkiv National University,17368.0,4012.0,2256.0
Universidad de Cienfuegos Carlos Rafael Rodríguez,3435.0,,794.0
Universidade Vila Velha,3153.0,4.0,194.0
Kyungsung University ,13058.0,1170.0,556.0
Vasyl Stus Donetsk National University,3621.0,83.0,403.0
University of Applied Sciences of Southern Switzerland,,,
"University of the Immaculate Conception,",,,
Howard University ,,,
Industrial University of Ho Chi Minh City (IUH),26077.0,406.0,1124.0
Yerevan State University,11981.0,160.0,1497.0
North Dakota State University,,,
Occidental College,,,
Universidad Juàrez del Estado de Durango (UJED),18622.0,,216.0
Universidad Catolica Boliviana San Pablo,,,
Instituto Tecnológico de Santo Domingo (INTEC),5697.0,195.0,182.0
College of the Holy Cross,,,
New York Film Academy,,,
Porto Business School,,,
Universidad Santiago De Cali ,16558.0,,800.0
