No.,University,URL
9,University of Nicosia,https://www.topuniversities.com/universities/university-nicosia
10,L.N. Gumilyov Eurasian National University (ENU),https://www.topuniversities.com/universities/ln-gumilyov-eurasian-national-university-enu
1,Les Roches Global Hospitality Management Education,https://www.topuniversities.com/universities/les-roches-global-hospitality-management-education
2,Karolinska Institutet,https://www.topuniversities.com/universities/karolinska-institutet
3,Università degli Studi di Pavia,https://www.topuniversities.com/universities/universita-degli-studi-di-pavia
4,Glion Institute of Higher Education,https://www.topuniversities.com/universities/glion-institute-higher-education
5,Canadian University Dubai,https://www.topuniversities.com/universities/canadian-university-dubai
6,European University Cyprus,https://www.topuniversities.com/universities/european-university-cyprus
7,University of Exeter Business School,https://www.topuniversities.com/universities/university-exeter/university-exeter-business-school
8,Universitas Andalas,https://www.topuniversities.com/universities/universitas-andalas
9,Sciences Po,https://www.topuniversities.com/universities/sciences-po
10,London College of Creative Media,https://www.topuniversities.com/universities/london-college-creative-media
1,Universidad de La Sabana,https://www.topuniversities.com/universities/universidad-de-la-sabana
2,Instituto Tecnológico de Sonora (ITSON),https://www.topuniversities.com/universities/instituto-tecnologico-de-sonora-itson
3,Institut Polytechnique de Paris,https://www.topuniversities.com/universities/institut-polytechnique-de-paris
4,The University of Auckland,https://www.topuniversities.com/universities/university-auckland
5,Temple University,https://www.topuniversities.com/universities/temple-university
6,National Taiwan Normal University,https://www.topuniversities.com/universities/national-taiwan-normal-university
7,University of Szeged,https://www.topuniversities.com/universities/university-szeged
8,University of Edinburgh Business School ,https://www.topuniversities.com/universities/university-edinburgh-business-school
9,Hotelschool The Hague,https://www.topuniversities.com/universities/hotelschool-hague
10,"Macquarie University (Sydney, Australia)",https://www.topuniversities.com/universities/macquarie-university-sydney-australia
1,"IÉSEG School of Management, Lille - Paris, France",https://www.topuniversities.com/universities/ieseg-school-management-lille-paris-france
2,Clarkson University,https://www.topuniversities.com/universities/clarkson-university
3,Luxembourg School of Business,https://www.topuniversities.com/universities/luxembourg-school-business
4,Prince Mohammad Bin Fahd university,https://www.topuniversities.com/universities/prince-mohammad-bin-fahd-university
5,Universidad Popular Autónoma del Estado de Puebla (UPAEP),https://www.topuniversities.com/universities/universidad-popular-autonoma-del-estado-de-puebla-upaep
6,Universidad Europea de Madrid,https://www.topuniversities.com/universities/universidad-europea-de-madrid
7,Heriot-Watt University,https://www.topuniversities.com/universities/heriot-watt-university
8,Lund University,https://www.topuniversities.com/universities/lund-university
9,Breda University of Applied Sciences,https://www.topuniversities.com/universities/breda-university-applied-sciences
10,Drexel University - College of Engineering,https://www.topuniversities.com/universities/drexel-university/drexel-university-college-engineering
1,University of Navarra,https://www.topuniversities.com/universities/university-navarra
2,University of Bristol,https://www.topuniversities.com/universities/university-bristol
3,Frankfurt School of Finance and Management,https://www.topuniversities.com/universities/frankfurt-school-finance-management
4,Ashland University,https://www.topuniversities.com/universities/ashland-university
5,Thammasat University,https://www.topuniversities.com/universities/thammasat-university
6,"The Mitchell E. Daniels, Jr. School of Business",https://www.topuniversities.com/universities/purdue-university/mitchell-e-daniels-jr-school-business
7,Amman Arab University,https://www.topuniversities.com/universities/amman-arab-university
8,Iloilo Science and Technology University,https://www.topuniversities.com/universities/iloilo-science-technology-university
9,Università Cattolica del Sacro Cuore,https://www.topuniversities.com/universities/universita-cattolica-del-sacro-cuore
10,Les Roches Global Hospitality Management Education,https://www.topuniversities.com/universities/les-roches-global-hospitality-management-education
1,Universidad Europea de Madrid,https://www.topuniversities.com/universities/universidad-europea-de-madrid
2,The Chinese University of Hong Kong (CUHK),https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk
3,Universitat de Lleida (University of Lleida),https://www.topuniversities.com/universities/universitat-de-lleida-university-lleida
4,EM NORMANDIE BUSINESS SCHOOL,https://www.topuniversities.com/universities/em-normandie-business-school
5,Narxoz University,https://www.topuniversities.com/universities/narxoz-university
6,EUHT StPOL Barcelona - Sant Pol School of Hospitality and Culinary Management,https://www.topuniversities.com/universities/euht-stpol-barcelona-sant-pol-school-hospitality-culinary-management
7,Universidade de São Paulo,https://www.topuniversities.com/universities/universidade-de-sao-paulo
8,University of South Australia,https://www.topuniversities.com/universities/university-south-australia
9,University of Technology Sydney,https://www.topuniversities.com/universities/university-technology-sydney
