No.,University,URL
1,Pratt School of Engineering,https://www.topuniversities.com/universities/duke-university/pratt-school-engineering
2,Tel Aviv University Coller School of Management,https://www.topuniversities.com/universities/tel-aviv-university/tel-aviv-university-coller-school-management
3,Czech College ,https://www.topuniversities.com/universities/czech-college
4,HEC Montréal,https://www.topuniversities.com/universities/hec-montreal
5,King Mongkut's Institute of Technology Ladkrabang,https://www.topuniversities.com/universities/king-mongkuts-institute-technology-ladkrabang
6,University of British Columbia,https://www.topuniversities.com/universities/university-british-columbia
7,Westminster International University in Tashkent,https://www.topuniversities.com/universities/westminster-international-university-tashkent
8,Tokyo City University,https://www.topuniversities.com/universities/tokyo-city-university
9,California Institute of Technology (Caltech),https://www.topuniversities.com/universities/california-institute-technology-caltech
10,Singapore University of Technology and Design,https://www.topuniversities.com/universities/singapore-university-technology-design
1,Birmingham Newman University,https://www.topuniversities.com/universities/birmingham-newman-university
2,Universidad Nacional de Mar del Plata,https://www.topuniversities.com/universities/universidad-nacional-de-mar-del-plata
3,CUNY Queens College,https://www.topuniversities.com/universities/saint-anselm-college
4,Technische Universität Ilmenau,https://www.topuniversities.com/universities/technische-universitat-ilmenau
5,,https://www.topuniversities.com/universities/dunarea-de-jos-university-galati
6,"Maharaja Sayajirao University of Baroda, Vadodara",https://www.topuniversities.com/universities/maharaja-sayajirao-university-baroda-vadodara
7,Syarif Hidayatullah State Islamic University Jakarta,https://www.topuniversities.com/universities/syarif-hidayatullah-state-islamic-university-jakarta
8,Jilin University,https://www.topuniversities.com/universities/jilin-university
9,Design Academy Eindhoven,https://www.topuniversities.com/universities/design-academy-eindhoven
10,University of Jyväskylä,https://www.topuniversities.com/universities/university-jyvaskyla
1,Johannes Kepler University Linz,https://www.topuniversities.com/universities/johannes-kepler-university-linz
2,University of Tulsa College of Business Administration,https://www.topuniversities.com/universities/university-tulsa-college-business-administration
3,Sungkyunkwan University (SKKU),https://www.topuniversities.com/universities/sungkyunkwan-universityskku
4,TU Dortmund University,https://www.topuniversities.com/universities/tu-dortmund-university
5,University of Al-Qadisiyah,https://www.topuniversities.com/universities/university-al-qadisiyah
6,DeVry University Orlando,https://www.topuniversities.com/universities/devry-university-orlando
7,Khon Kaen University,https://www.topuniversities.com/universities/khon-kaen-university
8,RMIT International University Vietnam,https://www.topuniversities.com/universities/rmit-international-university-vietnam
9,Universidad Andina Simón Bolívar - Ecuador,https://www.topuniversities.com/universities/universidad-andina-simon-bolivar-ecuador
10,"KFUPM Business School, King Fahd University of Petroleum & Minerals",https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals/kfupm-business-school-king-fahd-university-petroleum-minerals
1,Goethe-University Frankfurt am Main,https://www.topuniversities.com/universities/goethe-university-frankfurt-am-main
2,Nanjing University of Science and Technology,https://www.topuniversities.com/universities/nanjing-university-science-technology
3,King Saud University,https://www.topuniversities.com/universities/king-saud-university
4,London South Bank University,https://www.topuniversities.com/universities/london-south-bank-university
5,Wilkes University,https://www.topuniversities.com/universities/wilkes-university
6,Tokyo Medical and Dental University (TMDU),https://www.topuniversities.com/universities/tokyo-medical-dental-university-tmdu
7,Hawaii Pacific University,https://www.topuniversities.com/universities/hawaii-pacific-university
8,Technical University of Kosice,https://www.topuniversities.com/universities/technical-university-kosice
9,Central Mindanao University ,https://www.topuniversities.com/universities/central-mindanao-university
10,Sistema Universitario Ana G. Méndez (SUAGM),https://www.topuniversities.com/universities/sistema-universitario-ana-g-mendez-suagm
1,Yale University,https://www.topuniversities.com/universities/yale-university
2,Soonchunhyang University ,https://www.topuniversities.com/universities/soonchunhyang-university
3,Marbella University,https://www.topuniversities.com/universities/marbella-university
4,Niagara University,https://www.topuniversities.com/universities/niagara-university
5,University of Florida,https://www.topuniversities.com/universities/university-florida
6,Royal College of Music,https://www.topuniversities.com/universities/royal-college-music
7,Institut Français de Méchanique Avancée (IFMA),https://www.topuniversities.com/universities/institut-francais-de-mechanique-avancee-ifma
8,LeBow College of Business,https://www.topuniversities.com/universities/drexel-university/lebow-college-business
9,Universidad Autnoma del Beni Jos Ballivin,https://www.topuniversities.com/universities/universidad-autnoma-del-beni-jos-ballivin
10,Universitas Nahdlatul Ulama Surabaya (UNUSA),https://www.topuniversities.com/universities/universitas-nahdlatul-ulama-surabaya-unusa
1,Universidad de Salamanca,https://www.topuniversities.com/universities/universidad-de-salamanca
2,University at Buffalo SUNY - School of Engineering and Applied Sciences,https://www.topuniversities.com/universities/university-buffalo-suny/university-buffalo-suny-school-engineering-applied-sciences
3,University College of Boras,https://www.topuniversities.com/universities/university-college-boras
4,Toronto Film School,https://www.topuniversities.com/universities/toronto-film-school
5,SUNY Potsdam,https://www.topuniversities.com/universities/suny-potsdam
6,Weissman School of Arts and Sciences,https://www.topuniversities.com/universities/baruch-college/weissman-school-arts-sciences
7,Dania Danish Academy of Business and Technology ,https://www.topuniversities.com/universities/dania-danish-academy-business-technology
8,Université Abderrahmane Mira – Béjaia,https://www.topuniversities.com/universities/universite-abderrahmane-mira-bejaia
